
====================================================================================================
PROFILE SUMMARY
====================================================================================================
Fri Feb 27 19:10:04 2026    /home/ryan/Documents/2026-Rebuild/src/teleop.prof

         159180 function calls (159115 primitive calls) in 6.931 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.001    0.000    0.002    0.000 /usr/local/lib/python3.14/logging/__init__.py:1592(findCaller)
       12    0.001    0.000    0.091    0.008 /usr/local/lib/python3.14/logging/__init__.py:1641(_log)
        4    0.013    0.003    2.867    0.717 {built-in method hal._wpiHal.sendError}
       23    0.006    0.000    0.008    0.000 {built-in method hal._wpiHal.observeUserProgramTeleop}
        1    0.000    0.000    0.000    0.000 {built-in method hal._wpiHal.initializeNotifier}
        1    0.000    0.000    0.000    0.000 {built-in method hal._wpiHal.stopNotifier}
        1    0.000    0.000    0.000    0.000 {built-in method hal._wpiHal.cleanNotifier}
       24    0.006    0.000    0.010    0.000 {built-in method hal._wpiHal.updateNotifierAlarm}
       23    0.002    0.000    0.005    0.000 {built-in method hal._wpiHal.waitForNotifierAlarm}
       10    0.001    0.000    0.001    0.000 {built-in method ntcore._ntcore.getEntry}
        2    0.000    0.000    0.000    0.000 {built-in method ntcore._ntcore.getInstance}
       10    0.000    0.000    0.000    0.000 {built-in method ntcore._ntcore.getSubTable}
        2    0.001    0.000    0.001    0.000 {built-in method ntcore._ntcore.getSubTables}
        2    0.002    0.001    0.006    0.003 {built-in method ntcore._ntcore.exists}
       23    0.006    0.000    0.014    0.001 {built-in method ntcore._ntcore.setValue}
        1    0.000    0.000    0.000    0.000 {built-in method ntcore._ntcore.setString}
        2    0.000    0.000    0.000    0.000 {built-in method ntcore._ntcore.getTable}
        2    0.000    0.000    0.000    0.000 {built-in method ntcore._ntcore.getProperty}
        6    0.000    0.000    0.000    0.000 {built-in method ntcore._ntcore.set}
       46    0.004    0.000    0.009    0.000 {built-in method ntcore._ntcore.readQueue}
        2    0.000    0.000    0.000    0.000 {built-in method ntcore._ntcore.getTopic}
       25    0.005    0.000    0.007    0.000 {built-in method ntcore._ntcore.get}
       68    0.007    0.000    0.012    0.000 {built-in method wpimath.geometry._geometry.translation}
  304/303    0.014    0.000    0.045    0.000 {built-in method wpimath.geometry._geometry.rotation}
      115    0.017    0.000    0.026    0.000 {built-in method wpimath.geometry._geometry.degrees}
      281    0.030    0.000    0.054    0.000 {built-in method wpimath.geometry._geometry.rotateBy}
      562    0.012    0.000    0.012    0.000 {built-in method wpimath.geometry._geometry.radians}
       23    0.001    0.000    0.001    0.000 {built-in method wpimath.geometry._geometry.distance}
       69    0.011    0.000    0.025    0.000 {built-in method wpilib.interfaces._interfaces.getRawButton}
      161    0.026    0.000    0.049    0.000 {built-in method wpilib.interfaces._interfaces.getRawAxis}
       23    0.005    0.000    0.009    0.000 {built-in method wpimath._controls._controls.controller.calculate}
       23    0.003    0.000    0.003    0.000 {built-in method wpimath._controls._controls.controller.getSetpoint}
        2    0.000    0.000    0.000    0.000 {built-in method wpilib._wpilib.getJoystickIsXbox}
        2    0.000    0.000    0.000    0.000 {built-in method wpilib._wpilib.isAutonomousEnabled}
       24    0.001    0.000    0.001    0.000 {built-in method wpilib._wpilib.isTeleopEnabled}
       22    0.002    0.000    0.007    0.000 {built-in method wpilib._wpilib.getAlliance}
       24    0.002    0.000    0.005    0.000 {built-in method wpilib._wpilib.refreshData}
       46    0.014    0.000    0.030    0.001 {built-in method wpilib._wpilib.get}
       23    0.013    0.001    0.032    0.001 {built-in method wpilib._wpilib.setRobotPose}
       23    0.055    0.002    0.194    0.008 {built-in method wpilib._wpilib.updateValues}
       26    0.005    0.000    0.014    0.001 {built-in method wpilib._wpilib.getDouble}
       22    0.008    0.000    0.014    0.001 {built-in method wpilib._wpilib.getBoolean}
        2    0.000    0.000    0.000    0.000 {built-in method wpilib._wpilib.isSimulation}
      608    0.056    0.000    0.149    0.000 {built-in method wpilib._wpilib.getFPGATime}
        1    0.000    0.000    0.000    0.000 {built-in method wpilib._wpilib.getControlState}
       39    0.001    0.000    0.001    0.000 {built-in method wpilib._wpilib.getTime}
       23    0.005    0.000    0.009    0.000 {built-in method wpilib._wpilib.getBatteryVoltage}
       12    0.000    0.000    0.000    0.000 {built-in method wpilib._wpilib.putBoolean}
      421    0.049    0.000    0.107    0.000 {built-in method wpilib._wpilib.putNumber}
       12    0.001    0.000    0.001    0.000 {built-in method wpilib._wpilib.putString}
      147    0.010    0.000    0.018    0.000 {built-in method wpilib._wpilib.getFPGATimestamp}
       23    0.002    0.000    0.002    0.000 {built-in method wpilib._wpilib.getSelected}
       23    0.010    0.000    0.090    0.004 /home/lvuser/py/robot.py:267(teleopPeriodic)
        4    0.001    0.000    3.281    0.820 /usr/local/lib/python3.14/site-packages/wpilib/_impl/report_error.py:11(reportErrorInternal)
      306    0.002    0.000    0.002    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/phoenix_native.py:1441(api_instance)
       61    0.053    0.001    0.147    0.002 /usr/local/lib/python3.14/site-packages/phoenix6/base_status_signal.py:352(_refresh_value)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/base_status_signal.py:35(__init__)
       38    0.040    0.001    0.225    0.006 /usr/local/lib/python3.14/site-packages/phoenix6/status_code.py:1221(description)
       38    0.030    0.001    1.291    0.034 /usr/local/lib/python3.14/site-packages/phoenix6/error_reporting.py:13(report_status_code)
      368    0.003    0.000    0.003    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/phoenix_native.py:1366(instance)
       88    0.001    0.000    0.001    0.000 /home/lvuser/py/components/shooter_controller.py:83(_linear_interp)
      281    0.251    0.001    0.458    0.002 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:400(apply)
      161    0.022    0.000    1.858    0.012 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/parent_device.py:367(_set_control_private)
       23    0.003    0.000    0.055    0.002 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/parent_device.py:395(_common_lookup)
  222/184    0.017    0.000    1.461    0.008 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/parent_device.py:84(report_if_too_old)
       23    0.016    0.001    0.041    0.002 /usr/local/lib/python3.14/site-packages/phoenix6/controls/velocity_voltage.py:239(_send_request)
      115    0.017    0.000    2.561    0.022 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/core/core_talon_fx.py:7098(set_control)
       46    0.002    0.000    3.306    0.072 /usr/local/lib/python3.14/site-packages/photonlibpy/photonCamera.py:288(_versionCheck)
      281    0.132    0.000    0.229    0.001 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/swerve_drivetrain.py:78(_update_from_native)
       21    0.008    0.000    0.147    0.007 /home/lvuser/py/components/swerve_drive.py:430(sendAdvantageScopeData)
       23    0.005    0.000    1.806    0.079 /home/lvuser/py/components/intake.py:105(execute)
       23    0.013    0.001    3.099    0.135 /home/lvuser/py/components/swerve_drive.py:464(execute)
       23    0.001    0.000    0.033    0.001 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/simple_watchdog.py:78(printIfExpired)
       46    0.009    0.000    0.205    0.004 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/core/core_talon_fxs.py:6542(set_control)
       23    0.004    0.000    0.250    0.011 /home/lvuser/py/components/shooter.py:117(execute)
       21    0.004    0.000    0.039    0.002 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/swerve_drivetrain.py:669(get_state)
       46    0.009    0.000    0.078    0.002 /usr/local/lib/python3.14/site-packages/magicbot/state_machine.py:566(execute)
      281    0.014    0.000    0.023    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/utility/phoenix_pid_controller.py:312(calculate)
       22    0.018    0.001    0.032    0.001 /home/lvuser/py/components/shooter_controller.py:44(_update_target)
       23    0.000    0.000    0.000    0.000 /home/lvuser/py/lemonlib/util/sysid.py:98(execute)
       69    0.006    0.000    0.013    0.000 /home/lvuser/py/lemonlib/util/alert.py:154(get_strings)
      974    1.363    0.001    1.492    0.002 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/swerve_drivetrain.py:174(_update_from_native)
       23    0.002    0.000    0.030    0.001 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/swerve_drivetrain.py:636(set_control)
      281    0.052    0.000    0.768    0.003 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:1298(apply)
        2    0.002    0.001    0.004    0.002 /home/lvuser/py/lemonlib/control.py:72(__init__)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.14/site-packages/magicbot/magicrobot.py:416(_disabled)
        1    0.000    0.000    0.000    0.000 /home/lvuser/py/components/drive_control.py:146(free)
       23    0.000    0.000    0.000    0.000 /home/lvuser/py/components/intake.py:88(get_angle)
       22    0.001    0.000    0.001    0.000 /home/lvuser/py/components/shooter.py:94(set_velocity)
       23    0.000    0.000    0.000    0.000 /home/lvuser/py/components/shooter.py:109(get_velocity)
       23    0.000    0.000    0.000    0.000 /home/lvuser/py/components/shooter.py:113(get_target_velocity)
       23    0.000    0.000    0.000    0.000 /home/lvuser/py/components/shooter_controller.py:99(get_target_rps)
       23    0.008    0.000    0.008    0.000 /home/lvuser/py/components/shooter_controller.py:103(get_distance)
       22    0.000    0.000    0.000    0.000 /home/lvuser/py/game.py:86(get_hub_pos)
       23    0.001    0.000    0.036    0.002 /home/lvuser/py/components/intake.py:78(get_position)
       23    0.001    0.000    0.014    0.001 /home/lvuser/py/components/intake.py:72(get_left_angle)
       23    0.001    0.000    0.018    0.001 /home/lvuser/py/components/intake.py:75(get_right_angle)
       23    0.000    0.000    0.000    0.000 /home/lvuser/py/components/shooter_controller.py:107(is_at_speed)
       34    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
       46    0.002    0.000    3.339    0.073 /home/lvuser/py/components/odometry.py:54(_process_latest_result)
       22    0.002    0.000    0.037    0.002 /home/lvuser/py/components/shooter_controller.py:111(idle)
       19    0.001    0.000    0.001    0.000 /home/lvuser/py/lemonlib/util/__init__.py:44(clamp)
       23    0.001    0.000    0.006    0.000 /home/lvuser/py/lemonlib/util/alert.py:147(<lambda>)
       23    0.001    0.000    0.005    0.000 /home/lvuser/py/lemonlib/util/alert.py:151(<lambda>)
        7    0.000    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/photonlibpy/timesync/timeSyncServer.py:16(unpack)
        7    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/photonlibpy/timesync/timeSyncServer.py:34(pack)
       46    0.007    0.000    3.326    0.072 /usr/local/lib/python3.14/site-packages/photonlibpy/photonCamera.py:127(getAllUnreadResults)
       36    0.002    0.000    0.003    0.000 /home/lvuser/py/lemonlib/util/slew.py:21(get_time_seconds)
       23    0.001    0.000    0.002    0.000 /home/lvuser/py/lemonlib/control.py:221(getRightTriggerAxis)
       23    0.000    0.000    0.002    0.000 /home/lvuser/py/lemonlib/control.py:265(getSquareButton)
       23    0.001    0.000    0.005    0.000 /home/lvuser/py/lemonlib/control.py:281(getR2Axis)
       23    0.001    0.000    0.007    0.000 /home/lvuser/py/lemonlib/control.py:285(getL2Axis)
       23    0.001    0.000    0.018    0.001 /home/lvuser/py/lemonlib/control.py:309(getLeftX)
       23    0.001    0.000    0.010    0.000 /home/lvuser/py/lemonlib/control.py:318(getLeftY)
       23    0.001    0.000    0.012    0.001 /home/lvuser/py/lemonlib/control.py:327(getRightX)
      828    0.004    0.000    0.004    0.000 /home/lvuser/py/lemonlib/smart/profile.py:74(<lambda>)
       23    0.001    0.000    0.001    0.000 /home/lvuser/py/lemonlib/smart/controller.py:48(<lambda>)
       23    0.000    0.000    0.000    0.000 /home/lvuser/py/lemonlib/smart/controller.py:50(<lambda>)
       23    0.000    0.000    0.000    0.000 /home/lvuser/py/lemonlib/smart/controller.py:52(<lambda>)
       23    0.000    0.000    0.000    0.000 /home/lvuser/py/lemonlib/smart/controller.py:53(<lambda>)
        7    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/photonlibpy/timesync/timeSyncServer.py:11(__init__)
        7    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/photonlibpy/timesync/timeSyncServer.py:28(__init__)
       10    0.001    0.000    0.002    0.000 /usr/local/lib/python3.14/site-packages/photonlibpy/photonCamera.py:308(<lambda>)
       46    0.006    0.000    0.031    0.001 /home/lvuser/py/lemonlib/control.py:136(getLeftBumper)
      207    0.005    0.000    0.127    0.001 /home/lvuser/py/lemonlib/lemonbot/tunable.py:14(wrapper)
       20    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:1354(with_velocity_x)
       20    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:1370(with_velocity_y)
       20    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:1386(with_target_direction)
       23    0.002    0.000    0.495    0.022 /home/lvuser/py/components/odometry.py:39(execute)
       23    0.000    0.000    0.004    0.000 /home/lvuser/py/lemonlib/control.py:336(getRightY)
        3    0.000    0.000    0.000    0.000 /home/lvuser/py/lemonlib/util/slew.py:9(__init__)
       23    0.001    0.000    0.005    0.000 /home/lvuser/py/lemonlib/util/alert.py:143(<lambda>)
       23    0.007    0.000    0.031    0.001 /home/lvuser/py/lemonlib/smart/profile.py:358(calculate)
       36    0.001    0.000    0.003    0.000 /home/lvuser/py/lemonlib/util/__init__.py:81(f)
      281    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:245(with_velocity_x)
      281    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:261(with_velocity_y)
      281    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:277(with_rotational_rate)
      281    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:293(with_deadband)
      281    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:308(with_rotational_deadband)
      281    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:323(with_center_of_rotation)
      281    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:339(with_drive_request_type)
      281    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:354(with_steer_request_type)
      281    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:369(with_desaturate_wheel_speeds)
      281    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:385(with_forward_perspective)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:488(with_velocity_x)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:504(with_velocity_y)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:520(with_rotational_rate)
       23    0.003    0.000    0.014    0.001 /home/lvuser/py/components/swerve_drive.py:220(get_distance_from_desired_pose)
      953    0.003    0.000    0.003    0.000 /home/lvuser/py/components/swerve_drive.py:142(_telemetry_callback)
       91    0.000    0.000    0.000    0.000 /home/lvuser/py/components/swerve_drive.py:207(get_estimated_pose)
       22    0.000    0.000    0.000    0.000 /home/lvuser/py/components/swerve_drive.py:210(get_velocity)
        4    0.000    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/magicbot/state_machine.py:521(next_state)
        2    0.001    0.000    0.004    0.002 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:176(_apply_native)
       23    0.002    0.000    0.035    0.002 /home/lvuser/py/lemonlib/smart/controller.py:55(calculate)
      281    0.006    0.000    0.006    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/utility/phoenix_pid_controller.py:13(input_modulus)
       23    0.010    0.000    6.767    0.294 /home/lvuser/py/lemonlib/lemonbot/lemon_robot.py:73(_enabled_periodic)
       20    0.005    0.000    0.017    0.001 /home/lvuser/py/components/swerve_drive.py:311(drive_point_joy)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/precise_delay.py:42(free)
       23    0.002    0.000    0.210    0.009 /usr/local/lib/python3.14/site-packages/magicbot/magicrobot.py:251(robotPeriodic)
      346    0.016    0.000    0.165    0.000 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/simple_watchdog.py:66(addEpoch)
      138    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/magicbot/magicrobot.py:324(consumeExceptions)
       23    0.001    0.000    0.006    0.000 /usr/local/lib/python3.14/site-packages/magicbot/magic_tunable.py:153(__get__)
        6    0.000    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/magicbot/magic_tunable.py:158(__set__)
       92    0.005    0.000    0.005    0.000 /home/lvuser/py/components/swerve_drive.py:194(_vel)
       70    0.002    0.000    0.036    0.001 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/simple_watchdog.py:42(getTime)
       23    0.001    0.000    0.051    0.002 /home/lvuser/py/components/intake.py:81(_compute_angle)
       24    0.000    0.000    0.025    0.001 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/precise_delay.py:63(_update_alarm)
       23    0.001    0.000    0.001    0.000 /home/lvuser/py/components/drive_control.py:94(drive_point_joy)
       24    0.004    0.000    0.027    0.001 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/simple_watchdog.py:102(enable)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/magicbot/state_machine.py:549(done)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/precise_delay.py:36(__enter__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/precise_delay.py:33(__del__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/precise_delay.py:39(__exit__)
       24    0.001    0.000    0.030    0.001 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/simple_watchdog.py:95(reset)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/magicbot/state_machine.py:492(on_disable)
       23    0.003    0.000    0.011    0.000 /home/lvuser/py/components/swerve_drive.py:186(<lambda>)
       92    0.011    0.000    0.032    0.000 /home/lvuser/py/components/swerve_drive.py:197(_ang)
       46    0.001    0.000    0.002    0.000 /usr/local/lib/python3.14/site-packages/magicbot/state_machine.py:498(engage)
      281    0.067    0.000    1.489    0.005 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/swerve_drivetrain.py:653(control_callback)
        1    0.000    0.000    0.000    0.000 /home/lvuser/py/components/swerve_drive.py:275(drive)
        1    0.000    0.000    0.001    0.001 /home/lvuser/py/components/drive_control.py:129(initialise)
      953    0.099    0.000    4.998    0.005 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/swerve_drivetrain.py:741(telem_callback)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/magicbot/magicrobot.py:571(_on_mode_disable_components)
       23    0.011    0.000    0.594    0.026 /usr/local/lib/python3.14/site-packages/magicbot/magicrobot.py:720(_do_periodics)
       36    0.002    0.000    0.006    0.000 /home/lvuser/py/lemonlib/util/slew.py:25(calculate)
       20    0.001    0.000    0.020    0.001 /home/lvuser/py/components/drive_control.py:185(point_towards_joy)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/swerve/requests.py:641(_apply_native)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/precise_delay.py:20(__init__)
       46    0.001    0.000    0.004    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/talon_fxs.py:376(feed)
      115    0.003    0.000    0.009    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/talon_fx.py:376(feed)
      115    0.023    0.000    2.237    0.019 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/talon_fx.py:303(_set_control_private)
        6    0.009    0.001    0.017    0.003 {method 'recvfrom' of '_socket.socket' objects}
        7    0.002    0.000    0.017    0.002 {method 'sendto' of '_socket.socket' objects}
       46    0.030    0.001    0.157    0.003 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/talon_fxs.py:303(_set_control_private)
       23    0.001    0.000    0.046    0.002 /usr/local/lib/python3.14/site-packages/robotpy_ext/misc/precise_delay.py:54(wait)
       69    0.054    0.001    0.226    0.003 /usr/local/lib/python3.14/site-packages/phoenix6/controls/follower.py:90(_send_request)
       69    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/controls/voltage_out.py:218(with_output)
       23    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/controls/velocity_voltage.py:254(with_velocity)
       38    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/device_identifier.py:49(__str__)
       23    0.009    0.000    0.066    0.003 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/core/core_talon_fx.py:679(get_velocity)
      222    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/device_identifier.py:58(network)
      222    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/device_identifier.py:88(device_hash)
      161    0.003    0.000    0.003    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/parent_device.py:156(network)
      161    0.002    0.000    0.003    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/hardware/parent_device.py:167(device_hash)
       38    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/status_code.py:807(is_error)
      712    0.012    0.000    0.025    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/status_code.py:825(is_ok)
      260    0.001    0.000    0.001    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/canbus.py:120(name)
       69    0.039    0.001    0.378    0.005 /usr/local/lib/python3.14/site-packages/phoenix6/controls/voltage_out.py:203(_send_request)
       61    0.003    0.000    0.154    0.003 /usr/local/lib/python3.14/site-packages/phoenix6/status_signal.py:105(refresh)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.14/site-packages/phoenix6/status_signal.py:48(__init__)
       23    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/status_signal.py:94(value)
      107    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/base_status_signal.py:152(status)
       42    0.001    0.000    0.001    0.000 {built-in method math.atan2}
      281    0.002    0.000    0.002    0.000 {built-in method math.fabs}
       88    0.001    0.000    0.001    0.000 {built-in method math.hypot}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/cProfile.py:53(create_stats)
      107    0.029    0.000    0.064    0.001 /usr/local/lib/python3.14/site-packages/phoenix6/utils.py:23(get_current_time_seconds)
       23    0.006    0.000    0.013    0.001 /home/lvuser/py/robot.py:364(display_auto_state)
       61    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/base_status_signal.py:374(_update_units)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.14/cProfile.py:47(dump_stats)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/all_timestamps.py:22(__init__)
       23    0.001    0.000    0.014    0.001 /home/lvuser/py/robot.py:355(get_voltage)
      186    0.002    0.000    0.002    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/timestamp.py:74(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      144    0.002    0.000    0.002    0.000 {built-in method _ctypes.byref}
       19    0.001    0.000    0.001    0.000 /home/lvuser/py/robot.py:223(<lambda>)
       23    0.001    0.000    0.002    0.000 /home/lvuser/py/robot.py:240(enabledperiodic)
       61    0.005    0.000    0.007    0.000 /usr/local/lib/python3.14/site-packages/phoenix6/all_timestamps.py:30(update)
        2    0.002    0.001    0.095    0.048 /usr/local/lib/python3.14/site-packages/wpilib/_impl/report_error.py:83(reportWarning)
        2    0.000    0.000    3.196    1.598 /usr/local/lib/python3.14/site-packages/wpilib/_impl/report_error.py:72(reportError)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.14/ctypes/__init__.py:271(POINTER)
       12    0.001    0.000    0.073    0.006 /usr/local/lib/python3.14/logging/__init__.py:1667(handle)
